,neg,pos
0,cv077_23172.txt,cv394_5137.txt
1,cv981_16679.txt,cv460_10842.txt
2,cv619_13677.txt,cv316_6370.txt
3,cv574_23191.txt,cv286_25050.txt
4,cv536_27221.txt,cv334_10001.txt
5,cv295_17060.txt,cv086_18371.txt
6,cv232_16768.txt,cv196_29027.txt
7,cv513_7236.txt,cv602_8300.txt
8,cv760_8977.txt,cv857_15958.txt
9,cv204_8930.txt,cv109_21172.txt
10,cv812_19051.txt,cv236_11565.txt
11,cv164_23451.txt,cv929_16908.txt
12,cv626_7907.txt,cv977_4938.txt
13,cv773_20264.txt,cv090_0042.txt
14,cv683_13047.txt,cv758_9671.txt
15,cv350_22139.txt,cv646_15065.txt
16,cv349_15032.txt,cv717_15953.txt
17,cv056_14663.txt,cv661_2450.txt
18,cv585_23576.txt,cv381_20172.txt
19,cv101_10537.txt,cv299_16214.txt
20,cv535_21183.txt,cv057_7453.txt
21,cv961_5578.txt,cv670_25826.txt
22,cv739_12179.txt,cv108_15571.txt
23,cv775_17966.txt,cv651_10492.txt
24,cv681_9744.txt,cv689_12587.txt
25,cv167_18094.txt,cv625_12440.txt
26,cv774_15488.txt,cv888_24435.txt
27,cv649_13947.txt,cv466_18722.txt
28,cv066_11668.txt,cv135_11603.txt
29,cv469_21998.txt,cv824_8838.txt
30,cv163_10110.txt,cv099_10534.txt
31,cv971_11790.txt,cv528_10822.txt
32,cv023_13847.txt,cv487_10446.txt
33,cv933_24953.txt,cv514_11187.txt
34,cv027_26270.txt,cv322_20318.txt
35,cv945_13012.txt,cv153_10779.txt
36,cv782_21078.txt,cv436_19179.txt
37,cv648_17277.txt,cv378_20629.txt
38,cv931_18783.txt,cv140_7479.txt
39,cv757_10668.txt,cv073_21785.txt
40,cv964_5794.txt,cv568_15638.txt
41,cv446_12209.txt,cv116_28942.txt
42,cv490_18986.txt,cv123_11182.txt
43,cv772_12971.txt,cv937_9811.txt
44,cv599_22197.txt,cv723_8648.txt
45,cv670_2666.txt,cv669_22995.txt
46,cv830_5778.txt,cv858_18819.txt
47,cv398_17047.txt,cv275_28887.txt
48,cv148_18084.txt,cv737_28907.txt
49,cv240_15948.txt,cv458_8604.txt
50,cv116_28734.txt,cv924_29540.txt
51,cv876_9633.txt,cv404_20315.txt
52,cv194_12855.txt,cv619_12462.txt
